Ticker,Name,Fama_Industry,Sector,Industry,Last_Updated,Currency,Prior_Tickers,Ticker_Change_Date,Related_Tickers,Exchange,SIC,Perma_Ticker,Location,Delisted_From,Is_Foreign
A,AGILENT TECHNOLOGIES INC,Measuring and Control Equipment,Healthcare,Medical Laboratories & Research,2017-03-08,USD,None,None,None,NYSE,3826,196290,CALIFORNIA U.S.A,None,N
AA,Alcoa Corp,Steel Works Etc,Basic Materials,Aluminum,2017-03-16,USD,None,None,None,NYSE,3350,124392,NEW YORK U.S.A,None,N
AAAP,Advanced Accelerator Applications S.A. (Foreign),Pharmaceutical Products,Healthcare,Drug Manufacturers - Other,2016-07-19,EUR,None,None,None,NASDAQ,2834,155760,FRANCE,None,Y
AABC,ACCESS ANYTIME BANCORP INC,Banking,Financial,Savings & Loans,2016-09-07,USD,None,None,None,DELISTED,6035,165444,NEW MEXICO U.S.A,NASDAQ,N
AAC,AAC Holdings Inc.,Healthcare,Healthcare,Specialized Health Services,2017-03-07,USD,None,None,None,NYSE,8093,187592,TENNESSEE U.S.A,None,N
AACC,ASSET ACCEPTANCE CAPITAL CORP,Banking,Financial,Asset Management,2016-08-31,USD,None,None,None,DELISTED,6153,195323,MICHIGAN U.S.A,NASDAQ,N
AACE,ACE CASH EXPRESS INC,Banking,Services,Business Services,2016-08-16,USD,None,None,None,DELISTED,6099,178353,TEXAS U.S.A,NASDAQ,N
AACPF,Australia Acquisition Corp (Foreign),Trading,Consumer Goods,Textile - Apparel Clothing,2016-08-27,USD,None,None,AACAACOUAACOW,DELISTED,6770,190934,AUSTRALIA,NASDAQ,Y
AAI,AIRTRAN HOLDINGS INC,Shipping Containers,Services,Regional Airlines,2016-08-30,USD,None,None,None,DELISTED,4512,188778,FLORIDA U.S.A,NASDAQ,N
AAIIQ,ALABAMA AIRCRAFT INDUSTRIES INC,Aircraft,Industrial Goods,Aerospace/Defense Products & Services,2016-09-02,USD,None,None,AAII,DELISTED,3721,177928,ALABAMA U.S.A,NASDAQ,N
AAIR,Avantair Inc,Shipping Containers,Healthcare,Specialized Health Services,2016-08-19,USD,None,None,None,DELISTED,4522,195013,FLORIDA U.S.A,OTCMKTS,N
AAL,American Airlines Group Inc.,Shipping Containers,Services,Regional Airlines,2017-02-22,USD,None,None,AMRAAMRQ,NASDAQ,4512,199960,TEXAS U.S.A,None,N
AAMC,Altisource Asset Management Corp,Real Estate,Financial,Property Management,2017-03-02,USD,None,None,None,OTCMKTS,6500,191808,VIRGIN ISLANDS U.S.,None,N
AAME,ATLANTIC AMERICAN CORP,Insurance,Financial,Life Insurance,2017-02-02,USD,None,None,None,NASDAQ,6311,199933,GEORGIA U.S.A,None,N
AAN,AARON'S INC,Business Services,Services,Rental & Leasing Services,2017-02-25,USD,None,None,None,NYSE,7359,198929,GEORGIA U.S.A,None,N
AAOI,APPLIED OPTOELECTRONICS INC.,Electronic Equipment,Technology,Communication Equipment,2017-03-09,USD,None,None,None,NASDAQ,3674,195742,TEXAS U.S.A,None,N
AAON,AAON INC,Machinery,Industrial Goods,General Building Materials,2017-02-23,USD,None,None,None,NASDAQ,3585,198259,OKLAHOMA U.S.A,None,N
AAP,ADVANCE AUTO PARTS INC,Retail,Services,Auto Parts Stores,2017-02-28,USD,None,None,None,NYSE,5531,195735,VIRGINIA U.S.A,None,N
